L3_UseCaseId,L1_Use_Case_Name,L1_Use_Case_Identifier,L2_Use_Case_Name,L2_Use_Case_Identifier,L3_Rule_Identifier,L3_Technical_Use_Case_Name,L3_Severity,L3_Priority,L3_Use_Case_Description
UC_0159,Actions on Objectives,AO,Installation of persistence mechanism,AO-PER,AO-PER-13,Detect Unauthorized Launch Agent Creation,3,5,https://attack.mitre.org/wiki/Technique/T1159
UC_0160,Actions on Objectives,AO,Privilege escalation,AO-PRI,AO-PRI-07,Detect Unauthorized Launch Daemon Creation,3,5,https://attack.mitre.org/wiki/Technique/T1160
UC_0161,Actions on Objectives,AO,Installation of persistence mechanism,AO-PER,AO-PER-12,Detect Unauthorized LC_LOAD_DYLIB Addition Attempt,3,5,https://attack.mitre.org/wiki/Technique/T1161
UC_0162,Actions on Objectives,AO,Installation of persistence mechanism,AO-PER,AO-PER-15,Detect Unauthorized Login Item Creation,3,5,https://attack.mitre.org/wiki/Technique/T1162
UC_0163,Actions on Objectives,AO,Installation of persistence mechanism,AO-PER,AO-PER-20,Detect Unauthorized Modification of Rc.common File,3,5,https://attack.mitre.org/wiki/Technique/T1163
UC_0164,Actions on Objectives,AO,Installation of persistence mechanism,AO-PER,AO-PER-21,Detect Unauthorized Modification to Re-opened Application List,3,5,https://attack.mitre.org/wiki/Technique/T1164
UC_0165,Actions on Objectives,AO,Installation of persistence mechanism,AO-PER,AO-PER-27,Detect Modifications of Startup Items,3,5,https://attack.mitre.org/wiki/Technique/T1165
UC_0166,Actions on Objectives,AO,Privilege escalation,AO-PRI,AO-PRI-11,Detect Abuse of Setuid and Setgid Files,3,5,https://attack.mitre.org/wiki/Technique/T1166
UC_0167,Actions on Objectives,AO,Credential theft,AO-CRE,AO-CRE-08,Detect Securityd Memory Access Attempt,3,5,https://attack.mitre.org/wiki/Technique/T1167
UC_0168,Actions on Objectives,AO,Installation of persistence mechanism,AO-PER,AO-PER-09,Detect Presence of Unauthorized Cron Job,3,5,https://attack.mitre.org/wiki/Technique/T1168
UC_0169,Policy Violations,PV,Unauthorized use of high-privileged account,PV-ACC,PV-ACC-01,Detect Unauthorized Usage of Sudo,3,5,https://attack.mitre.org/wiki/Technique/T1169
